ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.885, 4.10763594917928, .47919590520237, .2172, 0, 2022-01-01 12:06:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.666, 4.10639823640921, .47966685409102, .3468, 0, 2022-01-01 12:26:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.536, 4.10822950377428, .47870286740449, .2737, 0, 2022-01-01 12:46:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.496, 4.10810738682237, .47850734147144, .2900, 0, 2022-01-01 13:06:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.147, 4.10807469534282, .47891913689841, .2890, 0, 2022-01-01 13:26:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.276, 4.10715370312326, .47947990893803, .2571, 0, 2022-01-01 13:46:01
7, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.277, 4.10511468712895, .47896985215434, .2521, 0, 2022-01-01 14:06:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.912, 4.10902091223985, .47986634158719, .3767, 0, 2022-01-01 14:26:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.361, 4.10678531322657, .47923584441532, .3676, 0, 2022-01-01 14:46:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.518, 4.10282949214464, .47865880936752, .3917, 0, 2022-01-01 15:06:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.949, 4.10386790333548, .47983668746568, .4366, 0, 2022-01-01 15:26:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.208, 4.10298000216629, .47904250993049, .3520, 0, 2022-01-01 15:46:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.869, 4.10710563275928, .47964124764942, .2729, 0, 2022-01-01 16:06:01
14, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.820, 4.10810069316518, .47891486062276, .4292, 0, 2022-01-01 16:26:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.237, 4.10649133848318, .47941807927547, .1820, 0, 2022-01-01 16:46:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.361, 4.10596532922488, .47986533069241, .3633, 0, 2022-01-01 17:06:01
17, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.830, 4.10881863415226, .47957528447626, .2255, 0, 2022-01-01 17:26:01
18, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.879, 4.10469208344577, .47961163320076, .2489, 0, 2022-01-01 17:46:01
19, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.905, 4.10759349939222, .47854655160038, .3248, 0, 2022-01-01 18:06:01
20, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.707, 4.10901332325689, .47937309140604, .2840, 0, 2022-01-01 18:26:01
21, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.430, 4.10586278609259, .47849305237837, .4066, 0, 2022-01-01 18:46:01
22, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.474, 4.10552274842611, .47835377453819, .3812, 0, 2022-01-01 19:06:01
23, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.617, 4.10779264971046, .47958785409453, .2803, 0, 2022-01-01 19:26:01
24, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.817, 4.10576230544069, .47836125840205, .4346, 0, 2022-01-01 19:46:01
25, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.147, 4.10270281398223, .47941043261941, .2794, 0, 2022-01-01 20:06:01
26, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.148, 4.10755802962627, .47843856543588, .2948, 0, 2022-01-01 20:26:01
27, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.637, 4.10299192042814, .47859305256948, .2476, 0, 2022-01-01 20:46:01
28, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.172, 4.10671382243127, .47850244187426, .2797, 0, 2022-01-01 21:06:01
29, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.388, 4.10344172104015, .47958299302579, .2491, 0, 2022-01-01 21:26:01
30, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.853, 4.10615862257398, .47926436499953, .4164, 0, 2022-01-01 21:46:01
31, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.814, 4.10660693652004, .47867120989934, .2554, 0, 2022-01-01 22:06:01
32, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.418, 4.10680753681143, .47863322867513, .4290, 0, 2022-01-02 12:06:01
33, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.886, 4.10308343318392, .47845887078339, .2779, 0, 2022-01-02 12:26:01
34, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.716, 4.10267513169416, .47873517378965, .3264, 0, 2022-01-02 12:46:01
35, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.745, 4.10843342652435, .47897557420026, .1876, 0, 2022-01-02 13:06:01
36, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.858, 4.10831602450464, .47867159833089, .3654, 0, 2022-01-02 13:26:01
37, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.402, 4.10439053648525, .47841101607359, .2335, 0, 2022-01-02 13:46:01
38, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.826, 4.10707692836849, .47969651135965, .1994, 0, 2022-01-02 14:06:01
39, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.789, 4.10668423570709, .47990252446773, .1752, 0, 2022-01-02 14:26:01
40, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.618, 4.10734422866224, .47928180016882, .3789, 0, 2022-01-02 14:46:01
41, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.664, 4.10817573878779, .47915104703265, .2240, 0, 2022-01-02 15:06:01
42, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.829, 4.10717531762818, .47890392216904, .3229, 0, 2022-01-02 15:26:01
43, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.557, 4.10807238410005, .47836226643548, .3357, 0, 2022-01-02 15:46:01
44, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.693, 4.10293653309939, .47920337590552, .3672, 0, 2022-01-02 16:06:01
45, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.258, 4.10293723185882, .47855994977049, .3934, 0, 2022-01-02 16:26:01
46, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.937, 4.10847335298647, .47947807902774, .4458, 0, 2022-01-02 16:46:01
47, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.507, 4.10340573339915, .47919867629384, .1922, 0, 2022-01-02 17:06:01
48, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.183, 4.10579923410284, .47912287225074, .2784, 0, 2022-01-02 17:26:01
49, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.817, 4.10767388728212, .47851540364341, .2729, 0, 2022-01-02 17:46:01
50, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.878, 4.10693410625823, .47845661067062, .4080, 0, 2022-01-02 18:06:01
51, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.579, 4.10494115237373, .47899180220859, .2543, 0, 2022-01-02 18:26:01
52, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.265, 4.10254154228366, .47836983031294, .4423, 0, 2022-01-02 18:46:01
53, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.413, 4.10479692208077, .47941981057583, .2987, 0, 2022-01-02 19:06:01
54, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.600, 4.10520488225597, .47960979966652, .2279, 0, 2022-01-02 19:26:01
55, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.303, 4.10674532369412, .47848425463374, .2449, 0, 2022-01-02 19:46:01
56, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.477, 4.10304410325009, .47919777440404, .2629, 0, 2022-01-02 20:06:01
57, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.290, 4.10223543233114, .47863708199622, .2085, 0, 2022-01-02 20:26:01
58, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.595, 4.10718509217291, .47912149485892, .4213, 0, 2022-01-02 20:46:01
59, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.248, 4.10780302349236, .47846910895406, .1841, 0, 2022-01-02 21:06:01
60, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.568, 4.10691192237469, .47952475156286, .3730, 0, 2022-01-02 21:26:01
61, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.927, 4.10568547238101, .47943889350361, .1633, 0, 2022-01-02 21:46:01
62, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.240, 4.10469488624291, .47913200349162, .2268, 0, 2022-01-02 22:06:01
63, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.279, 4.10844736631912, .47854723490803, .3409, 0, 2022-01-03 12:06:01
64, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.821, 4.10314681835659, .47930648517029, .2047, 0, 2022-01-03 12:26:01
65, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.893, 4.10237069287577, .47860547989955, .3464, 0, 2022-01-03 12:46:01
66, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.378, 4.10478191334317, .47949929131954, .2894, 0, 2022-01-03 13:06:01
67, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.207, 4.10510432247551, .47839940442117, .1792, 0, 2022-01-03 13:26:01
68, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.586, 4.10857472321488, .47876183432747, .3763, 0, 2022-01-03 13:46:01
69, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.383, 4.10229643811518, .47896884803065, .3306, 0, 2022-01-03 14:06:01
70, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.190, 4.10721314241076, .47931402768512, .2340, 0, 2022-01-03 14:26:01
71, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.176, 4.10594233087488, .47891167153583, .4242, 0, 2022-01-03 14:46:01
72, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.244, 4.10470623845943, .47960582551489, .2154, 0, 2022-01-03 15:06:01
73, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.178, 4.10285032333808, .47853326214873, .3230, 0, 2022-01-03 15:26:01
74, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.182, 4.10519337067364, .47894396027802, .1806, 0, 2022-01-03 15:46:01
75, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.840, 4.10844121788476, .47962105779186, .4098, 0, 2022-01-03 16:06:01
76, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.906, 4.10698633414229, .47873983964126, .2431, 0, 2022-01-03 16:26:01
77, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.264, 4.10890922249428, .47977044095588, .4165, 0, 2022-01-03 16:46:01
78, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.501, 4.10675638258693, .47970782460738, .4463, 0, 2022-01-03 17:06:01
79, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.508, 4.10292120782274, .47911764334981, .3215, 0, 2022-01-03 17:26:01
80, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.727, 4.10461639805831, .47987743752968, .4426, 0, 2022-01-03 17:46:01
81, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.680, 4.10428528528426, .47896310185677, .2505, 0, 2022-01-03 18:06:01
82, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.927, 4.10896435503558, .47868048276085, .4374, 0, 2022-01-03 18:26:01
83, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.896, 4.10400821996239, .47952283162572, .2279, 0, 2022-01-03 18:46:01
84, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.756, 4.10317638399474, .47970815648604, .1912, 0, 2022-01-03 19:06:01
85, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.501, 4.10789723156438, .47855305232138, .4193, 0, 2022-01-03 19:26:01
86, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.219, 4.10476235291182, .47876096867729, .3111, 0, 2022-01-03 19:46:01
87, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.742, 4.10672123580537, .47848139800134, .4235, 0, 2022-01-03 20:06:01
88, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.880, 4.10665435552656, .47927136601808, .2181, 0, 2022-01-03 20:26:01
89, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.931, 4.10319723920105, .47951820382572, .4207, 0, 2022-01-03 20:46:01
90, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.822, 4.10349229880393, .47920912722925, .3798, 0, 2022-01-03 21:06:01
91, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.266, 4.10318413550109, .47890599908098, .4475, 0, 2022-01-03 21:26:01
92, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.532, 4.10787822390103, .47912375630683, .3214, 0, 2022-01-03 21:46:01
93, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.594, 4.10545239062845, .47886871175021, .3743, 0, 2022-01-03 22:06:01
94, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.371, 4.10249462801388, .47866464623583, .4411, 0, 2022-01-04 12:06:01
95, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.590, 4.10400943894685, .47873527325789, .2949, 0, 2022-01-04 12:26:01
96, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.652, 4.10705344099435, .47950326623411, .3380, 0, 2022-01-04 12:46:01
97, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.283, 4.10480556243232, .47862069558259, .2705, 0, 2022-01-04 13:06:01
98, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.574, 4.10535669072629, .47919593896244, .2931, 0, 2022-01-04 13:26:01
99, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.260, 4.10697050756822, .47876484119848, .4185, 0, 2022-01-04 13:46:01
100, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.369, 4.10572962182276, .47834241789075, .4116, 0, 2022-01-04 14:06:01
101, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.557, 4.10665007023307, .47958945264343, .2048, 0, 2022-01-04 14:26:01
