ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.259, 4.45490937271400, .84293609784192, .0104, 0, 2023-10-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 32.010, 4.47646715859232, .84176844036680, .8443, 0, 2023-10-01 12:20:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 30.204, 4.30999264395744, .83979767848808, .9729, 0, 2023-10-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.281, 4.46344447635336, .84162935421520, .2647, 0, 2023-10-01 13:00:02
5, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.124, 4.55647986259872, .83853101283392, .3455, 0, 2023-10-01 13:20:02
6, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.258, 4.21924666278056, .84150365688808, .2426, 0, 2023-10-01 13:40:01
7, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 34.554, 4.28562208417320, .84204025891032, .6425, 0, 2023-10-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 34.689, 4.36560804715168, .83830305415384, .2747, 0, 2023-10-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.168, 4.22622080984048, .83933116618776, .0303, 0, 2023-10-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 31.136, 4.15796761439288, .83846759654336, .3343, 0, 2023-10-01 15:00:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.978, 4.43253203116848, .84151497280608, .2489, 0, 2023-10-01 15:20:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.407, 4.30997793829944, .83805312434328, 1.8688, 0, 2023-10-01 15:40:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.332, 4.42285050723672, .84937768951048, .9615, 0, 2023-10-01 16:00:01
14, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 31.862, 4.51890450082384, .85489099290656, .2188, 0, 2023-10-01 16:20:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 30.347, 4.51738134713152, .81421004411432, .4637, 0, 2023-10-01 16:40:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.027, 4.92288532738888, .85896228808784, .3057, 0, 2023-10-01 17:00:01
17, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.059, 4.92290905709472, .85902539843968, .3003, 0, 2023-10-01 17:20:01
18, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.298, 4.91154890614256, .83127778557264, .1915, 0, 2023-10-01 17:40:01
19, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.945, 4.92320166268672, .85889187793136, .5524, 0, 2023-10-01 18:00:01
20, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.093, 4.92289744515624, .85887583407752, .2727, 0, 2023-10-01 18:20:01
