ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.685, 4.92295374093280, .86764068472704, .2638, 0, 2023-07-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.974, 4.92289239602288, .86759811423128, .1876, 0, 2023-07-01 12:20:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.927, 4.92249230065400, .86762286856488, .3581, 0, 2023-07-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.006, 4.92278182702224, .86765179694024, .3389, 0, 2023-07-01 13:00:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.897, 4.92297267556424, .86761831305336, .2889, 0, 2023-07-01 13:20:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.057, 4.92232218499168, .86745504172096, .6202, 0, 2023-07-01 13:40:01
7, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.135, 4.92259124550912, .86760393240752, .1673, 0, 2023-07-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.832, 4.92296686883200, .86408095189504, .3717, 0, 2023-07-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.811, 4.92311329675008, .86775572150112, .2439, 0, 2023-07-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.861, 4.92317237496688, .86764934180104, 2.1219, 0, 2023-07-01 15:00:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.805, 4.92294844002944, .86395374699952, .3337, 0, 2023-07-01 15:20:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.704, 4.68947632916432, .85947449130640, .7898, 0, 2023-07-01 15:40:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 46.204, 4.57563599441528, .86003636798696, .0626, 0, 2023-07-01 16:00:01
14, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 31.996, 4.47779094323480, .85949353656400, .3652, 0, 2023-07-01 16:20:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.019, 4.47782268990848, .85575152300008, .5408, 0, 2023-07-01 16:40:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.204, 4.52939109372832, .85897876605424, .7879, 0, 2023-07-01 17:00:01
