ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
1,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.66,4.93,1.52,0.25,0,2025-01-01 12:00:02
2,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.82,4.92,1.52,0.18,0,2025-01-01 12:20:02
3,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.29,4.93,1.52,0.36,0,2025-01-01 12:40:01
4,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.85,4.93,1.51,0.22,0,2025-01-01 13:00:02
5,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.79,4.92,1.51,0.37,0,2025-01-01 13:20:01
6,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.21,4.92,1.51,0.23,0,2025-01-01 13:40:02
7,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.59,4.93,1.52,0.22,0,2025-01-01 14:00:02
8,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.51,0.26,0,2025-01-01 14:20:01
9,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.28,4.93,1.51,0.24,0,2025-01-01 14:40:02
10,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.96,4.92,1.52,0.37,0,2025-01-01 15:00:02
11,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.65,4.93,1.52,0.24,0,2025-01-01 15:20:02
12,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.89,4.93,1.51,0.33,0,2025-01-01 15:40:01
13,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.77,4.93,1.51,0.20,0,2025-01-01 16:00:01
14,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.90,4.93,1.52,0.43,0,2025-01-01 16:20:01
15,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.93,1.51,0.36,0,2025-01-01 16:40:02
16,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.52,4.93,1.51,0.26,0,2025-01-01 17:00:02
17,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.91,4.93,1.52,0.21,0,2025-01-01 17:20:02
18,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.37,4.93,1.52,0.39,0,2025-01-01 17:40:01
19,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.90,4.92,1.52,0.44,0,2025-01-01 18:00:02
20,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.55,4.93,1.51,0.32,0,2025-01-01 18:20:01
21,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.42,4.92,1.51,0.41,0,2025-01-01 18:40:02
22,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.15,4.93,1.52,0.24,0,2025-01-01 19:00:01
23,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.30,4.92,1.52,0.26,0,2025-01-01 19:20:02
24,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.42,4.92,1.51,0.19,0,2025-01-01 19:40:02
25,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.63,4.93,1.51,0.26,0,2025-01-01 20:00:01
26,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.54,4.92,1.52,0.31,0,2025-01-01 20:20:02
27,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.40,4.93,1.51,0.23,0,2025-01-01 20:40:01
28,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.28,4.92,1.52,0.43,0,2025-01-01 21:00:01
29,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.62,4.92,1.52,0.28,0,2025-01-01 21:20:01
30,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.77,4.93,1.52,0.32,0,2025-01-01 21:40:01
31,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.26,4.92,1.52,0.20,0,2025-01-01 22:00:02
32,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.94,4.92,1.52,0.19,0,2025-01-02 12:00:02
33,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.66,4.93,1.52,0.43,0,2025-01-02 12:20:02
34,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.64,4.92,1.51,0.44,0,2025-01-02 12:40:02
35,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.80,4.93,1.52,0.44,0,2025-01-02 13:00:02
36,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.51,0.44,0,2025-01-02 13:20:01
37,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.26,4.92,1.51,0.16,0,2025-01-02 13:40:02
38,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.72,4.93,1.51,0.44,0,2025-01-02 14:00:01
39,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.25,4.93,1.51,0.27,0,2025-01-02 14:20:01
40,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.52,4.93,1.52,0.36,0,2025-01-02 14:40:02
41,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.39,4.93,1.52,0.42,0,2025-01-02 15:00:01
42,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.61,4.93,1.51,0.22,0,2025-01-02 15:20:01
43,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.52,4.92,1.51,0.24,0,2025-01-02 15:40:01
