fecha_reg, id_sonda, fecha, hora, download, upload, latencia, perdida, jitter, estado
2019-10-01 12:00:00, 100001, 01102019, 1200, 6793590.3916, 970727.4948, 23.686, 0, .3417, 1
2019-10-01 12:20:00, 100001, 01102019, 1220, 6791142.1874, 965428.0912, 23.452, 0, .3286, 1
2019-10-01 12:40:00, 100001, 01102019, 1240, 6793129.2169, 965287.0745, 24.045, 0, .3973, 1
2019-10-01 13:00:00, 100001, 01102019, 1300, 6793001.0932, 970765.4105, 23.698, 0, .3395, 1
2019-10-01 13:20:00, 100001, 01102019, 1320, 6792849.2288, 971158.2638, 23.926, 0, .2611, 1
2019-10-01 13:40:00, 100001, 01102019, 1340, 6793589.2869, 983161.1533, 23.550, 0, .2942, 1
2019-10-01 14:00:00, 100001, 01102019, 1400, 6793625.7417, 983580.6615, 23.400, 0, .2794, 1
2019-10-01 14:20:00, 100001, 01102019, 1420, 6793593.1533, 983369.1557, 23.799, 0, .3862, 1
2019-10-01 14:40:00, 100001, 01102019, 1440, 6792504.6597, 983689.6448, 23.610, 0, .2063, 1
2019-10-01 15:00:00, 100001, 01102019, 1500, 6791546.2348, 983935.5479, 23.530, 0, .2810, 1
2019-10-01 15:20:00, 100001, 01102019, 1520, 6793164.0099, 978101.8346, 23.505, 0, .3518, 1
2019-10-01 15:40:00, 100001, 01102019, 1540, 6793490.4190, 956191.2969, 23.301, 0, .4140, 1
2019-10-01 16:00:00, 100001, 01102019, 1600, 6793036.4372, 961857.2326, 24.265, 0, .4138, 1
2019-10-01 16:20:00, 100001, 01102019, 1620, 6793187.7577, 961805.7832, 23.596, 0, .2206, 1
2019-10-01 16:40:00, 100001, 01102019, 1640, 6794193.0507, 961616.5627, 23.710, 0, .2844, 1
2019-10-01 17:00:00, 100001, 01102019, 1700, 6793180.5781, 961496.4941, 23.571, 0, .3327, 1
2019-10-01 17:20:00, 100001, 01102019, 1720, 6793895.2983, 962023.4760, 23.567, 0, .3206, 1
2019-10-01 17:40:00, 100001, 01102019, 1740, 6793840.6119, 961880.3296, 23.439, 0, .3679, 1
2019-10-01 18:00:00, 100001, 01102019, 1800, 1152555.1516, 983365.5912, 23.590, 0, .2632, 1
2019-10-01 18:20:00, 100001, 01102019, 1820, 6685819.6159, 976432.4351, 22.151, 0, .5080, 1
2019-10-01 18:40:00, 100001, 01102019, 1840, 6791653.3265, 802364.3808, 23.490, 0, .3446, 1
2019-10-01 19:00:00, 100001, 01102019, 1900, 6794405.1945, 802249.8058, 23.637, 0, .4431, 1
2019-10-01 19:20:00, 100001, 01102019, 1920, 6792714.4893, 801911.2181, 23.375, 0, .5131, 1
2019-10-01 19:40:00, 100001, 01102019, 1940, 6793889.2220, 802100.0365, 23.549, 0, .2920, 1
2019-10-01 20:00:00, 100001, 01102019, 2000, 6794083.1168, 801542.5822, 23.312, 0, .2949, 1
2019-10-01 20:20:00, 100001, 01102019, 2020, 6794157.1423, 802340.3507, 23.426, 0, 1.3435, 1
