ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 20.519, 5.53779206417256, .86513769018024, .1655, 0, 2020-10-01 12:00:01
2, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.843, 5.48246045461960, .86640213262888, 11.4583, 0, 2020-10-01 12:20:01
3, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.623, 5.63916401508560, .86891290152872, .4713, 0, 2020-10-01 12:40:01
4, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.762, 5.34785430558328, .86644130270344, .3117, 0, 2020-10-01 13:00:01
5, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 23.605, 5.39937672933088, .86163204441504, .2543, 0, 2020-10-01 13:20:01
6, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.847, 5.55620655627688, .86925399650072, .9555, 0, 2020-10-01 13:40:01
7, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 23.245, 5.31592218876376, .86320775548056, 18.0083, 0, 2020-10-01 14:00:01
8, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.875, 5.15675216176624, .86661295645168, .2961, 0, 2020-10-01 14:20:01
9, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 17.291, 5.36849597893992, .86738104956368, .3489, 0, 2020-10-01 14:40:01
10, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.607, 5.32703780922800, .86320693684656, .9062, 0, 2020-10-01 15:00:01
11, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 15.799, 5.40675502678304, .86809218619360, .2376, 0, 2020-10-01 15:20:01
12, COTES, 100001, ADSL, 1, 1, Banda Ancha D-1, 7, 2, 1, 24.667, 5.36222527808008, .86956022437656, 8.4023, 0, 2020-10-01 15:40:01
