ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.519, 4.10827989371616, .72659563719848, .2256, 0, 2021-07-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.633, 4.10808264182328, .72894221847560, .4023, 0, 2021-07-01 12:20:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.628, 4.10804664786568, .72893499572776, .3141, 0, 2021-07-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.650, 4.10820513099000, .72884753311152, .3453, 0, 2021-07-01 13:00:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.661, 4.10817269538200, .72897439163248, .3945, 0, 2021-07-01 13:20:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.627, 4.10807262137648, .72899219863936, .4729, 0, 2021-07-01 13:40:02
7, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.525, 4.10813551276464, .72674351546440, .2828, 0, 2021-07-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.430, 4.10826829016992, .72898609512376, .4149, 0, 2021-07-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.461, 4.10838340552680, .72899470184376, .2796, 0, 2021-07-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.447, 4.10838907569288, .72893584640528, .3518, 0, 2021-07-01 15:00:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.422, 4.10832195685720, .72896485183752, .5456, 0, 2021-07-01 15:20:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.199, 4.10798758261888, .72897825744672, .7351, 0, 2021-07-01 15:40:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.652, 4.10808040030720, .72893979385400, .4633, 0, 2021-07-01 16:00:02
14, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.753, 4.10840015281080, .72898967407272, .4073, 0, 2021-07-01 16:20:02
15, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.531, 4.10725389044688, .72654302870824, .4793, 0, 2021-07-01 16:40:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.791, 4.10826723502472, .72887091186520, .5619, 0, 2021-07-01 17:00:01
17, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.489, 4.10747913764016, .72881745803816, .4607, 0, 2021-07-01 17:20:01
18, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.738, 4.10966751960640, .72920353592040, .3541, 0, 2021-07-01 17:40:01
19, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.563, 4.10813551276464, .72895139282256, .4084, 0, 2021-07-01 18:00:01
20, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.409, 4.10820012076664, .72897794540448, .2293, 0, 2021-07-01 18:20:01
21, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.704, 4.10831932013840, .72860437438864, .3579, 0, 2021-07-01 18:40:01
22, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.804, 4.10811230796112, .72883707473744, .3451, 0, 2021-07-01 19:00:01
23, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.577, 4.10809450858360, .72668357894072, .4050, 0, 2021-07-01 19:20:02
24, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.710, 4.10826407035184, .72900169418384, .4095, 0, 2021-07-01 19:40:01
25, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.235, 4.10824521506608, .72893569686912, .3411, 0, 2021-07-01 20:00:01
26, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 28.486, 4.10821000922488, .72898392379800, .3515, 0, 2021-07-01 20:20:01
