ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.312, 4.92690552534504, .85699208453745, .2317, 0, 2023-01-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.421, 4.92506685734537, .85958755743454, .2745, 0, 2023-01-01 12:20:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.134, 4.92727782467076, .85973483457453, .3620, 0, 2023-01-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.423, 4.92758985544353, .85976923854274, .9523, 0, 2023-01-01 13:00:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.123, 4.92744531123434, .85973355945738, .3318, 0, 2023-01-01 13:20:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.231, 4.92214911595345, .85973240948342, .2258, 0, 2023-01-01 13:40:01
7, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.134, 4.92583010164534, .85964341230941, .2012, 0, 2023-01-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.542, 4.92746807573458, .85975412398542, .2121, 0, 2023-01-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.312, 4.92747205653450, .85681252397847, 1.3203, 0, 2023-01-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.213, 4.92708400400543, .85962394534365, .2078, 0, 2023-01-01 15:00:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.153, 4.92691140345634, .85972504743533, .2856, 0, 2023-01-01 15:20:02
12, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.543, 4.92846735734536, .85989873945390, .3340, 0, 2023-01-01 15:40:02
13, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.675, 4.92758795853457, .85945645645645, .1873, 0, 2023-01-01 16:00:02
14, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.543, 4.92759194234574, .85945645645645, .8283, 0, 2023-01-01 16:20:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.346, 4.92718109385400, .85934745345345, .3741, 0, 2023-01-01 16:40:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.753, 4.92706179009834, .85970334534534, .3845, 0, 2023-01-01 17:00:01
17, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.456, 4.92749480054457, .85974623423463, .3220, 0, 2023-01-01 17:20:01
18, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.345, 4.92730267234554, .85681003463453, .3508, 0, 2023-01-01 17:40:01
19, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.632, 4.92735407436759, .85948463454363, .2389, 0, 2023-01-01 18:00:01
20, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.467, 4.92817987569657, .85987436345345, .3371, 0, 2023-01-01 18:20:01
21, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.354, 4.92775167567598, .85976302331233, .0229, 0, 2023-01-01 18:40:01
22, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.644, 4.92760486856706, .85971151231541, 1.3862, 0, 2023-01-01 19:00:01
23, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.876, 4.92715208657598, .85698645845644, .8602, 0, 2023-01-01 19:20:01
24, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.456, 4.92726815567497, .85971145889855, .3935, 0, 2023-01-01 19:40:01
25, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.754, 4.92746238754097, .85975334454773, .4816, 0, 2023-01-01 20:00:01
26, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.034, 4.92715303467880, .85976734156895, .3734, 0, 2023-01-01 20:20:01
27, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.543, 4.92680388842346, .85949666865798, .2796, 0, 2023-01-01 20:40:01
28, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.654, 4.92756526763323, .85966565685686, .4150, 0, 2023-01-01 21:00:01
29, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.345, 4.92740603463327, .85694568554544, .2617, 0, 2023-01-01 21:20:01
30, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.643, 4.92746750426634, .85712274558456, .2428, 0, 2023-01-01 21:40:01
31, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.346, 4.92754962334345, .85960056458454, 2.6808, 0, 2023-01-01 22:00:01
32, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.143, 4.92690552234233, .85699204564589, .2317, 0, 2023-01-02 12:00:01
33, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.235, 4.92506685723423, .85958755766897, .2745, 0, 2023-01-02 12:20:01
34, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.634, 4.92727782462342, .85973489585768, .3620, 0, 2023-01-02 12:40:01
35, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.234, 4.92758923643563, .85976453743538, .9523, 0, 2023-01-02 13:00:01
36, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.464, 4.92744534576443, .85973358456454, .3318, 0, 2023-01-02 13:20:01
37, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.523, 4.92214934234534, .85975645845889, .2258, 0, 2023-01-02 13:40:01
38, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.234, 4.92583346434236, .85965645845654, .2012, 0, 2023-01-02 14:00:01
39, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.053, 4.92746807346343, .85974456458546, .2121, 0, 2023-01-02 14:20:01
40, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.023, 4.92747202346433, .85684824565453, .3203, 0, 2023-01-02 14:40:01
41, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.423, 4.92708417653234, .85963555456845, .2078, 0, 2023-01-02 15:00:01
42, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.543, 4.92691143246732, .85970458755451, .2856, 0, 2023-01-02 15:20:02
43, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.432, 4.92846735234267, .85987266545647, 2.3340, 0, 2023-01-02 15:40:02
44, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.577, 4.92758795834574, .85964586456485, .1873, 0, 2023-01-02 16:00:02
45, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.032, 4.92759194203457, .85968457456455, .8283, 0, 2023-01-02 16:20:01
46, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.234, 4.92718109383456, .85948214586456, .3741, 0, 2023-01-02 16:40:01
47, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.961, 4.92706179745745, .85970045585645, .3845, 0, 2023-01-02 17:00:01
48, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.793, 4.92749485347450, .85974656458546, .3220, 0, 2023-01-02 17:20:01
49, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.723, 4.92734574534754, .85683574568655, .3508, 0, 2023-01-02 17:40:01
50, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.154, 4.92735454374532, .85969456458654, .2389, 0, 2023-01-02 18:00:01
51, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.821, 4.92817984574532, .85987645857745, .3371, 0, 2023-01-02 18:20:01
52, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.123, 4.92775145745912, .85976358456455, .0229, 0, 2023-01-02 18:40:01
