ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.29,4.93,1.52,0.30,0,2025-04-01 12:00:01
2,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.30,4.93,1.51,0.19,0,2025-04-01 12:20:01
3,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.32,0,2025-04-01 12:40:01
4,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.46,4.93,1.52,0.40,0,2025-04-01 13:00:01
5,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.28,0,2025-04-01 13:20:01
6,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.41,4.93,1.52,0.38,0,2025-04-01 13:40:01
7,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.92,1.52,0.09,0,2025-04-01 14:00:01
8,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.35,4.92,1.52,0.30,0,2025-04-01 14:20:01
9,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.93,1.52,0.20,0,2025-04-01 14:40:01
10,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.66,4.93,1.51,0.25,0,2025-04-01 15:00:01
11,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.51,0.30,0,2025-04-01 15:20:01
12,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.92,1.51,0.23,0,2025-04-01 15:40:01
13,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.20,4.93,1.52,0.27,0,2025-04-01 16:00:02
14,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.63,4.93,1.52,0.29,0,2025-04-01 16:20:01
15,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.46,4.93,1.52,0.19,0,2025-04-01 16:40:01
16,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.20,0,2025-04-01 17:00:02
17,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.62,4.93,1.52,0.16,0,2025-04-01 17:20:01
18,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.42,4.93,1.52,0.32,0,2025-04-01 17:40:01
19,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.43,4.93,1.52,0.25,0,2025-04-01 18:00:02
20,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.64,4.93,1.52,0.21,0,2025-04-01 18:20:01
21,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.61,4.93,1.52,0.26,0,2025-04-01 18:40:01
22,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.30,4.93,1.52,0.30,0,2025-04-01 19:00:01
23,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.19,0,2025-04-01 19:20:01
24,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.65,4.93,1.52,0.27,0,2025-04-01 19:40:01
25,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.36,4.93,1.52,0.34,0,2025-04-01 20:00:01
26,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.56,4.93,1.52,0.13,0,2025-04-01 20:20:01
27,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.31,0,2025-04-01 20:40:01
28,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.44,4.93,1.52,0.43,0,2025-04-01 21:00:01
29,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.34,0,2025-04-01 21:20:01
30,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.46,4.93,1.52,0.29,0,2025-04-01 21:40:01
31,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.11,0,2025-04-01 22:00:01
32,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.49,4.93,1.52,0.19,0,2025-04-02 12:00:01
33,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.26,0,2025-04-02 12:20:01
34,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.25,4.93,1.52,0.40,0,2025-04-02 12:40:01
35,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.35,4.93,1.52,0.28,0,2025-04-02 13:00:01
36,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.21,4.93,1.52,0.26,0,2025-04-02 13:20:01
37,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.37,0,2025-04-02 13:40:01
38,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,29.68,4.93,1.52,0.34,0,2025-04-02 14:00:01
39,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.64,4.93,1.52,0.27,0,2025-04-02 14:20:01
40,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.51,4.93,1.52,0.35,0,2025-04-02 14:40:01
41,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.49,4.93,1.52,0.25,0,2025-04-02 15:00:01
42,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.42,4.93,1.52,0.28,0,2025-04-02 15:20:01
43,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.29,4.93,1.52,0.35,0,2025-04-02 15:40:02
44,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.32,0,2025-04-02 16:00:01
45,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.40,4.93,1.52,0.29,0,2025-04-02 16:20:01
46,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.25,0,2025-04-02 16:40:02
47,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.27,0,2025-04-02 17:00:01
48,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.51,4.93,1.52,0.37,0,2025-04-02 17:20:01
49,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.16,4.89,1.52,0.29,0,2025-04-02 17:40:02
50,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.57,4.93,1.52,0.31,0,2025-04-02 18:00:01
51,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.34,0,2025-04-02 18:20:01
52,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.20,0,2025-04-02 18:40:01
53,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.18,4.93,1.52,0.32,0,2025-04-02 19:00:02
54,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.26,0,2025-04-02 19:20:01
55,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.58,4.93,1.52,0.28,0,2025-04-02 19:40:01
56,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.52,0.39,0,2025-04-02 20:00:02
57,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.25,0,2025-04-02 20:20:01
58,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.21,4.93,1.52,0.34,0,2025-04-02 20:40:01
59,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.12,4.93,1.52,0.32,0,2025-04-02 21:00:01
60,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.42,4.93,1.52,0.39,0,2025-04-02 21:20:01
61,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.51,0.19,0,2025-04-02 21:40:02
62,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.17,0,2025-04-02 22:00:01
63,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.24,0,2025-04-03 12:00:01
64,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.59,4.93,1.52,0.17,0,2025-04-03 12:20:01
65,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.77,4.93,1.52,0.33,0,2025-04-03 12:40:01
66,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,1.68,0,2025-04-03 13:00:01
67,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.33,0,2025-04-03 13:20:01
68,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.35,4.93,1.51,0.25,0,2025-04-03 13:40:01
69,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.29,4.93,1.52,0.24,0,2025-04-03 14:00:01
70,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.44,4.93,1.51,0.32,0,2025-04-03 14:20:01
71,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.13,4.93,1.52,0.42,0,2025-04-03 14:40:01
72,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.31,0,2025-04-03 15:00:01
73,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.93,1.52,0.15,0,2025-04-03 15:20:01
74,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.55,4.93,1.52,0.31,0,2025-04-03 15:40:01
75,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.04,4.93,1.52,0.33,0,2025-04-03 16:00:01
76,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.93,1.52,0.26,0,2025-04-03 16:20:01
77,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.38,4.93,1.52,1.09,0,2025-04-03 16:40:01
78,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.27,0,2025-04-03 17:00:01
79,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.50,4.93,1.52,0.25,0,2025-04-03 17:20:01
80,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.49,4.93,1.52,0.17,0,2025-04-03 17:40:02
81,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.48,4.93,1.52,0.29,0,2025-04-03 18:00:01
82,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.51,0.23,0,2025-04-03 18:20:01
83,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.44,4.93,1.52,0.26,0,2025-04-03 18:40:01
84,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.60,4.93,1.51,0.22,0,2025-04-03 19:00:01
85,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.57,4.93,1.52,0.22,0,2025-04-03 19:20:01
86,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.51,0.28,0,2025-04-03 19:40:01
87,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.53,4.93,1.52,0.33,0,2025-04-03 20:00:01
88,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.33,0,2025-04-03 20:20:01
89,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.52,4.93,1.52,0.35,0,2025-04-03 20:40:01
90,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.43,4.93,1.52,0.42,0,2025-04-03 21:00:01
91,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.69,4.93,1.52,0.20,0,2025-04-03 21:20:01
92,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.24,0,2025-04-03 21:40:01
93,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.39,4.93,1.52,0.25,0,2025-04-03 22:00:01
94,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.28,0,2025-04-04 12:00:01
95,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.59,4.93,1.52,0.32,0,2025-04-04 12:20:02
96,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.30,4.93,1.52,0.24,0,2025-04-04 12:40:01
97,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.46,4.93,1.52,0.30,0,2025-04-04 13:00:01
98,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.40,4.93,1.51,0.41,0,2025-04-04 13:20:01
99,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.52,0.38,0,2025-04-04 13:40:02
100,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.45,4.93,1.52,0.24,0,2025-04-04 14:00:01
